0.823851	-0.205023
1.00753	-0.180921
0.979876	-0.1278
0.941238	-0.077244
1.02706	-0.418266
0.83228	-0.246956
1.06919	-0.264373
0.694345	-0.270367
0.814276	-0.246683
1.07835	-0.35011
1.02247	-0.200557
1.00539	-0.342403
1.09495	-0.467559
1.09086	-0.405855
0.863723	-0.391811
1.84839	-1.7046
2.27422	-2.53273
1.75938	-1.41943
2.64896	-2.92915
2.47745	-2.62877
2.07836	-2.16034
2.14309	-2.38044
1.95611	-2.2021
2.6203	-3.21688
2.46131	-2.85219
2.27245	-2.49061
2.42704	-2.89121
2.3957	-2.95782
2.59106	-3.35681
2.70027	-3.42831
2.82864	-3.54392
2.79465	-3.60426
2.9292	-3.80052
2.57194	-3.24017
2.69636	-3.38296
2.56703	-3.24961
1.81162	-1.6586
2.09217	-1.83358
1.87767	-1.70803
1.7095	-1.67502
1.67804	-1.69697
2.05034	-2.26292
1.98612	-2.33246
1.47634	-1.62911
1.64877	-1.87693
1.39106	-1.45861
1.11469	-1.09047
0.616843	-0.61286
0.726135	-0.962552
1.06899	-1.53327
0.779896	-1.25052
0.36092	-0.87967
0.295166	-0.830376
0.281405	-0.878414
0.336013	-0.952196
0.36939	-0.982924
0.546804	-1.1721
1.00864	-1.53914
1.16114	-1.4627
0.904133	-1.02282
1.23228	-1.37097
1.65417	-1.97903
1.83344	-2.4114
2.01786	-2.71562
2.05755	-2.7447
2.20209	-2.94665
2.32015	-3.09231
1.817	-1.98735
1.78124	-1.49522
1.94188	-1.66626
1.66006	-1.22925
1.51699	-1.11385
1.43518	-0.982143
1.11107	-0.728778
0.94556	-0.806468
0.458419	-0.440301
0.0889621	-0.410192
-0.358738	-0.292688
-0.379915	-0.54059
-0.0809162	-0.557126
0.127143	-0.746704
0.0583392	-0.543791
0.257389	-0.483029
0.413594	-0.396407
0.349276	-0.300824
0.564273	-0.529769
0.992461	-1.02886
1.30821	-1.44133
1.55423	-1.66156
2.0701	-2.11631
1.78095	-1.81297
1.83963	-1.66271
1.8464	-1.70071
1.3952	-1.01904
0.249962	-0.325411
0.271825	-0.357637
0.201778	-0.265192
0.304235	-0.255063
0.192921	-0.00559539
0.0042856	0.203545
0.114432	-0.144077
